idx,p_baseline,p_scale_1,p_scale_2,p_scale_5,p_scale_10,p_scale_20
30784,0.11307770739270757,0.10943622679016056,0.10540576879994135,0.09523750081096638,0.08154166904053413,0.05892519104544829
35341,0.11882761774200436,0.11535189407317724,0.11111035241254284,0.10112293817846713,0.08559149929134402,0.06242392506070476
6435,0.18181728727627533,0.1756159807410038,0.17053515015619097,0.15499100928912277,0.1325545463304136,0.09675899256572783
22094,0.12426876319287802,0.12039799848802663,0.11650779708672585,0.10531966450569655,0.08958627999723301,0.0652294116937239
24094,0.12124966868108096,0.11808962260673961,0.11348605921869717,0.1034748277963916,0.08711250485769968,0.06368613947455047
2254,0.14575356351933116,0.14059480503286198,0.136821719243555,0.12422542698637436,0.10556392345796005,0.07670307282767724
16029,0.0840180873830533,0.08157476490947572,0.07851908774413864,0.07112100786883521,0.06007250975440783,0.04392745814458563
20367,0.14413499633663085,0.13887557277953047,0.13486458688104735,0.12227719787648215,0.10368596791018442,0.07584788006777544
39749,0.14571312159023098,0.14144625325453797,0.13604706964781416,0.12382980956816822,0.10506725886440195,0.07708965133922119
18142,0.11388614596162007,0.11030674479562977,0.1065187790920681,0.09640135188516523,0.08197704150609125,0.05989766185441558
18695,0.10202486433113794,0.09889237670156285,0.09537514446192209,0.08620639782642865,0.07338824784604787,0.05359523318642507
21611,0.12560692571534693,0.12118698508016651,0.11769274306612479,0.10676624389461079,0.09071897045124694,0.06615442708590887
26023,0.10647119474939733,0.10332930532850168,0.09935949242988679,0.09009249390790951,0.07619572405430575,0.05528883423561869
5908,0.14304471835733384,0.13785552600175605,0.1335035345239044,0.12117420115636622,0.10259236331670826,0.07515149957373167
36780,0.14092442550906534,0.13606076155271576,0.131723375878783,0.11928363113080029,0.1019650765693753,0.07482596061696856
26473,0.1384146838956349,0.13422724330559815,0.1300032269532731,0.11706662828060345,0.09992750664796429,0.072621933031341
38501,0.1105372680517236,0.10675316230179281,0.10325054224485554,0.09339665859188681,0.07889751919827132,0.0580294268361057
40947,0.14433663154446924,0.13951704137781634,0.13491981833371758,0.12218689859605743,0.10382457669966269,0.07582631922618696
25443,0.09812198150418773,0.09470696764649969,0.09177702498704468,0.08311472695231452,0.07004435912091131,0.05128837446385898
9677,0.16079529184634644,0.15622542602727657,0.15115318841039055,0.13712771191505824,0.11706284259636382,0.0857138748456593
30959,0.15753890351128366,0.15266116421409034,0.14741913460988376,0.13423262428525343,0.11431671553228677,0.08352545350789865
397,0.10802152013487851,0.10476866390676139,0.10119211322741782,0.09124299823271162,0.07764662094314917,0.05667873799161781
42603,0.10352694137505473,0.09962201080000244,0.09617467005450679,0.08680259128234888,0.07358144749049007,0.054083634830898564
598,0.13874058844548132,0.13462892344856825,0.13043397630103384,0.11843901167486466,0.10036140711253531,0.07342025276396147
28654,0.12346062240748616,0.11955645541532225,0.1151332615439545,0.10468259081183283,0.08911473739745446,0.0650691283204953
1472,0.17897605409094225,0.17324621007691876,0.1679226608675059,0.1526326179352558,0.13037118553068264,0.09534459081322809
44051,0.16350372938690844,0.1581279942327328,0.1535076423548801,0.13880686586378874,0.11892849128528228,0.08753613126827788
9586,0.2559921520357197,0.24885336829514804,0.24205595271369035,0.2213614313707005,0.19075841778257652,0.1417567741231498
8871,0.10017272768821847,0.09655352442874961,0.09335071653286266,0.08437554841616911,0.07142821771941052,0.05233717528656133
17464,0.1481777789691208,0.14332282378196312,0.1383613064471463,0.12499919091881719,0.10655083238793019,0.07765410370216448
383,0.16128925807052671,0.15605488425213473,0.15107264778433913,0.13736990225830056,0.11750531983140393,0.08576490801179663
35444,0.13673525707720768,0.13248457253419482,0.12763938125697294,0.11517205330246144,0.09809146850261898,0.0713121494960893
14494,0.12660945173073332,0.12275227556271741,0.11828336894903378,0.10732038247203082,0.09104938878137844,0.06634544066971855
4216,0.13945357677956988,0.13484762789099236,0.13059619737290595,0.11870431959424103,0.10086207956705538,0.074222886866109
14296,0.12233084878034753,0.11873909850100842,0.11466163655491675,0.10371154229202192,0.08830663820609305,0.06431316811369636
17943,0.1676480639594692,0.16245866485303842,0.15715567847154502,0.1421531123281629,0.12136003572109166,0.08824247994259163
9748,0.18785358162511348,0.1822880957724592,0.17669527765478474,0.1601309589138729,0.1371331661353047,0.10003379914449793
25252,0.16016150932348097,0.15510917743480024,0.15065143237974626,0.1360355125815922,0.1162783823722561,0.08476578517831453
28224,0.12363467859377167,0.12002266386336631,0.1159456211724218,0.10491755185124875,0.08952148984705702,0.0650493734625382
6636,0.14274194529690185,0.1385817618046648,0.13382666982483565,0.1213010225246095,0.10342406329868166,0.07566901352870067
7871,0.11146422370248515,0.10814975922732332,0.1044309240615915,0.09444998728120625,0.08018822596523327,0.0586233408279661
33708,0.09777359285823273,0.09417679561373889,0.09146751169477299,0.08247371734927457,0.06993908090683686,0.05113611990859969
